Age,Income,CreditScore,LoanAmount,EmploymentYears,EmploymentType,Education,Married,HomeOwnership,LoanApproved
45.0,8134.0,450.0,27308.0,3.0,Unemployed,Master,No,Rent,0
49.0,3672.0,563.0,38506.0,21.0,Self-employed,High School,Yes,Mortgage,0
19.0,8938.0,564.0,10139.0,5.0,Employed,High School,No,Mortgage,0
50.0,6069.0,481.0,12042.0,7.0,Self-employed,High School,Yes,Own,0
59.0,7425.0,553.0,29877.0,23.0,Unemployed,PhD,No,Rent,0
51.0,4648.0,513.0,12709.0,23.0,Unemployed,High School,Yes,Own,0
48.0,6794.0,594.0,31123.0,4.0,Unemployed,Master,No,Rent,0
51.0,9951.0,457.0,6156.0,5.0,Employed,Master,Yes,Rent,0
18.0,6557.0,444.0,35879.0,12.0,Employed,High School,Yes,Rent,0
56.0,6758.0,495.0,3946.0,0.0,Unemployed,Master,Yes,Mortgage,0
22.0,5166.0,667.0,36953.0,18.0,Unemployed,Bachelor,Yes,Own,0
25.0,8698.0,624.0,1479.0,2.0,Unemployed,PhD,Yes,Own,0
30.0,6663.0,674.0,9557.0,4.0,Unemployed,Bachelor,No,Mortgage,0
32.0,3555.0,495.0,2064.0,22.0,Employed,Master,No,Rent,0
57.0,2455.0,559.0,31598.0,2.0,Unemployed,PhD,No,Rent,0
28.0,4911.0,610.0,39719.0,3.0,Unemployed,Master,No,Mortgage,0
47.0,5933.0,679.0,,2.0,Unemployed,Bachelor,No,Mortgage,0
46.0,5185.0,621.0,25744.0,20.0,Self-employed,Master,No,Mortgage,0
44.0,7219.0,454.0,29531.0,1.0,Employed,High School,No,Own,0
58.0,3182.0,636.0,4758.0,5.0,Employed,High School,Yes,Rent,0
54.0,5260.0,468.0,11687.0,13.0,Self-employed,High School,Yes,Rent,0
36.0,9692.0,420.0,34391.0,14.0,Unemployed,PhD,Yes,Rent,0
50.0,4451.0,454.0,25600.0,0.0,Unemployed,High School,No,Rent,0
55.0,3748.0,564.0,9745.0,9.0,Self-employed,PhD,Yes,Rent,0
58.0,2107.0,443.0,3240.0,1.0,Unemployed,PhD,No,Own,0
62.0,8035.0,477.0,10621.0,9.0,Unemployed,Master,No,Mortgage,0
46.0,2363.0,513.0,28893.0,17.0,Self-employed,PhD,Yes,Rent,0
43.0,3841.0,455.0,11627.0,6.0,Unemployed,Master,No,Own,0
64.0,5382.0,428.0,27608.0,11.0,Employed,Master,Yes,Own,0
59.0,8976.0,701.0,17338.0,0.0,Employed,High School,No,Mortgage,0
31.0,4610.0,488.0,13085.0,15.0,Self-employed,High School,No,Mortgage,0
18.0,3084.0,423.0,1055.0,5.0,Employed,Master,Yes,Own,0
38.0,4787.0,433.0,,11.0,Self-employed,PhD,Yes,Mortgage,0
45.0,9823.0,467.0,32118.0,16.0,Employed,Bachelor,No,Rent,0
31.0,6528.0,554.0,13425.0,18.0,Self-employed,PhD,No,Rent,0
49.0,6840.0,719.0,30174.0,,,Master,No,Rent,0
44.0,5570.0,483.0,14325.0,12.0,Employed,PhD,Yes,Rent,0
21.0,6767.0,450.0,16935.0,14.0,Unemployed,High School,No,Rent,0
32.0,4455.0,508.0,15899.0,12.0,Unemployed,Master,Yes,Own,0
25.0,2705.0,628.0,37073.0,,Employed,Master,No,Rent,0
44.0,8817.0,460.0,9444.0,24.0,Self-employed,Bachelor,No,Own,0
30.0,4455.0,427.0,2461.0,20.0,Employed,Bachelor,No,Own,0
54.0,3919.0,737.0,27587.0,3.0,Employed,Master,No,Mortgage,0
60.0,4888.0,543.0,28843.0,3.0,Self-employed,Bachelor,Yes,Mortgage,0
33.0,8669.0,483.0,33447.0,21.0,Self-employed,Master,Yes,Own,0
23.0,2493.0,650.0,15031.0,24.0,Unemployed,,No,Mortgage,0
37.0,2366.0,498.0,2637.0,7.0,Self-employed,PhD,Yes,Mortgage,0
43.0,9691.0,498.0,5235.0,13.0,Self-employed,Bachelor,Yes,Mortgage,0
44.0,2182.0,568.0,4709.0,2.0,Employed,Master,No,Rent,0
63.0,9976.0,517.0,,5.0,Unemployed,High School,Yes,Rent,0
32.0,4895.0,613.0,32364.0,15.0,Unemployed,Master,No,Own,0
26.0,6338.0,435.0,3496.0,5.0,Employed,Bachelor,No,Own,0
54.0,3070.0,422.0,31406.0,12.0,Unemployed,Bachelor,Yes,Rent,0
57.0,2938.0,565.0,31498.0,24.0,Unemployed,PhD,Yes,Rent,0
31.0,2312.0,472.0,16294.0,18.0,Unemployed,Master,No,Rent,0
39.0,2954.0,545.0,8207.0,4.0,Employed,Master,Yes,Own,0
19.0,6733.0,573.0,21493.0,16.0,Employed,Bachelor,Yes,Mortgage,0
48.0,2591.0,602.0,35085.0,9.0,Unemployed,PhD,No,Own,0
43.0,8466.0,651.0,23175.0,11.0,Self-employed,PhD,No,Rent,0
18.0,5206.0,439.0,16818.0,12.0,Self-employed,Bachelor,Yes,Rent,0
51.0,6464.0,,24604.0,18.0,Employed,Bachelor,Yes,Rent,0
25.0,6333.0,532.0,27769.0,7.0,Employed,High School,No,Rent,0
18.0,3130.0,508.0,28700.0,21.0,Unemployed,Bachelor,No,Own,0
54.0,9656.0,445.0,4077.0,8.0,Self-employed,High School,Yes,Rent,0
53.0,6711.0,567.0,14286.0,9.0,Self-employed,High School,Yes,Mortgage,0
52.0,9773.0,452.0,32281.0,3.0,Self-employed,Bachelor,No,Own,0
58.0,2200.0,556.0,9491.0,24.0,Employed,PhD,Yes,Mortgage,0
18.0,6456.0,643.0,39134.0,20.0,Self-employed,High School,Yes,Own,0
46.0,7591.0,,35023.0,5.0,Unemployed,High School,Yes,Mortgage,0
19.0,5240.0,541.0,34706.0,22.0,Self-employed,High School,No,Own,0
49.0,6525.0,613.0,28204.0,8.0,Unemployed,High School,No,Mortgage,0
25.0,3615.0,422.0,39740.0,16.0,Unemployed,Master,No,Rent,0
19.0,6871.0,427.0,38000.0,19.0,Employed,High School,Yes,Rent,0
24.0,6881.0,450.0,18444.0,11.0,Unemployed,High School,No,Own,0
27.0,5821.0,528.0,13657.0,21.0,Unemployed,PhD,No,Mortgage,0
39.0,5636.0,664.0,4304.0,1.0,Self-employed,PhD,Yes,Mortgage,0
29.0,6853.0,566.0,32743.0,18.0,Self-employed,Bachelor,Yes,Mortgage,0
34.0,5073.0,,24343.0,11.0,Self-employed,PhD,Yes,Rent,0
55.0,5639.0,475.0,33256.0,2.0,Self-employed,High School,Yes,Rent,0
21.0,4463.0,445.0,15397.0,13.0,Employed,PhD,No,Mortgage,0
25.0,6702.0,567.0,36321.0,11.0,Unemployed,Master,Yes,Mortgage,0
43.0,2617.0,559.0,20625.0,20.0,Unemployed,High School,No,Rent,0
30.0,7570.0,472.0,23809.0,8.0,Employed,Master,Yes,Mortgage,0
